 columnname                     columntype    length description                                                                                                                                                                                                                                                     
 ------------------------------ ------------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 
 c5                             Char              13 Date and Sequence number                                                                                                                                                                                                                                        
 c10                            VarChar            8 Date on which the report was received                                                                                                                                                                                                                           
 c12                            Char               5 Unique sequential number assigned on date report received                                                                                                                                                                                                       
 c14                            Char               4 Region Code                                                                                                                                                                                                                                                     
 c15                            Char               4 Year                                                                                                                                                                                                                                                            
 c16                            Char               2 Month                                                                                                                                                                                                                                                           
 c17                            Char               2 Day                                                                                                                                                                                                                                                             
 c18                            Char              17 Operator Control Number                                                                                                                                                                                                                                         
 c20                            Char               1 Segment Code 1 = aircraft, 2 = engine, 3 = propeller, 4 = component                                                                                                                                                                                             
 c25                            VarChar            8 Date of occurrence                                                                                                                                                                                                                                              
 c35                            Char               1 A = Air Carrier   G = General Aviation                                                                                                                                                                                                                          
 c40                            Char               4 Air Transport Association (ATA) code                                                                                                                                                                                                                            
 c90                            Char              16 Manufacturer's part number                                                                                                                                                                                                                                      
 c100                           Char              16 Descriptive name of part                                                                                                                                                                                                                                        
 c110                           Char              12 Component manufacturer's name                                                                                                                                                                                                                                   
 c120                           Char              12 Component manufacturer's model designation                                                                                                                                                                                                                      
 c130                           Char               6 Aircraft manufacturer's name                                                                                                                                                                                                                                    
 c140                           Char               6 FAA assigned code to identify aircraft group                                                                                                                                                                                                                    
 c150                           Char              12 Aircraft manufacturer's model number                                                                                                                                                                                                                            
 c152                           Char               7 Aircraft make and model sequence number                                                                                                                                                                                                                         
 c160                           Char               4 Region responsible for aircraft                                                                                                                                                                                                                                 
 c170                           Char               6 Engine manufacturer's name                                                                                                                                                                                                                                      
 c180                           Char               6 FAA assigned code to identify engine group                                                                                                                                                                                                                      
 c190                           Char              12 Engine manufacturer's model number                                                                                                                                                                                                                              
 c192                           Char               5 Engine make and model sequence number                                                                                                                                                                                                                           
 c200                           Char               4 Region responsible for engine certification                                                                                                                                                                                                                     
 c210                           Char               6 Propeller manufacturer's name                                                                                                                                                                                                                                   
 c220                           Char               6 FAA assigned code to identify propeller group                                                                                                                                                                                                                   
 c230                           Char              12 Propeller manufacturer's model number                                                                                                                                                                                                                           
 c240                           Char               4 Region responsible for propeller certification                                                                                                                                                                                                                  
 c250                           Char              16 Location on sircraft of the defective or malfunctioning part                                                                                                                                                                                                    
 c260                           Char              16 Text reflecting condition of failed part                                                                                                                                                                                                                        
 c270                           Char               1 Submitter code                                                                                                                                                                                                                                                  
 c280                           Char               1 Report submitted                                                                                                                                                                                                                                                
 c290                           Char               1 Alert code                                                                                                                                                                                                                                                      
 c300                           Char               4 Air carrier operator code                                                                                                                                                                                                                                       
 c310a                          Char               1 1st occurrence - Precautionary Procedures Code (For use in report printout)                                                                                                                                                                                     
 c310b                          Char               1 2nd occurrence - Precautionary Procedures Code (For use in report printout)                                                                                                                                                                                     
 c310c                          Char               1 3rd occurrence - Precautionary Procedures Code (For use in report printout)                                                                                                                                                                                     
 c310d                          Char               1 4th occurrence - Precautionary Procedures Code (For use in report printout)                                                                                                                                                                                     
 c314a                          Char              24 1st occurrence - Precautionary Procedures Text (For use in report printout)                                                                                                                                                                                     
 c314b                          Char              24 2nd occurrence - Precautionary Procedures Text (For use in report printout)                                                                                                                                                                                     
 c314c                          Char              24 3rd occurrence - Precautionary Procedures Text (For use in report printout)                                                                                                                                                                                     
 c314d                          Char              24 4th occurrence - Precautionary Procedures Text (For use in report printout)                                                                                                                                                                                     
 c320a                          Char               1 1st occurrence - Nature condition code (For use in report printout)                                                                                                                                                                                             
 c320b                          Char               1 2nd occurrence - Nature condition code (For use in report printout)                                                                                                                                                                                             
 c320c                          Char               1 3rd occurrence - Nature condition code (For use in report printout)                                                                                                                                                                                             
 c324a                          Char              26 1st occurrence - Nature condition text (For use in report printout)                                                                                                                                                                                             
 c324b                          Char              26 2nd occurence - Nature condition text (For use in report printout)                                                                                                                                                                                              
 c324c                          Char              26 3rd occurrence - Nature condition text (For use in report printout)                                                                                                                                                                                             
 c330                           Char               2 Stage of operation code                                                                                                                                                                                                                                         
 c332                           Char              15 Stage of operation text                                                                                                                                                                                                                                         
 c340                           Char               1 Report status                                                                                                                                                                                                                                                   
 c350                           Char               2 Microfilm roll number of original report                                                                                                                                                                                                                        
 c360                           Char               4 Microfilm frame number of original report                                                                                                                                                                                                                       
 c370                           Char               2 Region receiving report                                                                                                                                                                                                                                         
 c380                           Char               2 District office receiving report                                                                                                                                                                                                                                
 c390                           Char               5 Aircraft registration or tail number                                                                                                                                                                                                                            
 c400                           VarChar            5 Total time accumulated on part regardless of overhaul                                                                                                                                                                                                           
 c410                           VarChar            5 Total time accumulated on part since overhaul                                                                                                                                                                                                                   
 c420                           Char               1 Severity factor, the higher the number the greater the impact on continued flight safety                                                                                                                                                                        
 c430                           Char              12 Manufacturer's serial number of component                                                                                                                                                                                                                       
 c440                           Char              12 Manufacturer's serial number of aircraft                                                                                                                                                                                                                        
 c450                           Char              12 Manufacturer's serial number of engine                                                                                                                                                                                                                          
 c460                           Char              12 Manufacturer's serial number of propeller                                                                                                                                                                                                                       
 c490                           Char               4 1st Code - Up to 2 three digit ATA codes. May be left blank                                                                                                                                                                                                     
 c510a                          VarChar          120 1st line of remarks (For use in report printout)                                                                                                                                                                                                                
 c510b                          VarChar          120 2nd line of remarks (For use in report printout)                                                                                                                                                                                                                
 c510c                          VarChar          120 3rd line of remarks (For use in report printout)                                                                                                                                                                                                                
 c510d                          VarChar          120 4th line of remarks (For use in report printout)                                                                                                                                                                                                                
 c510e                          VarChar          120 5th line of remarks (For use in report printout)                                                                                                                                                                                                                
 c510f                          VarChar          120 6th line of remarks (For use in report printout)                                                                                                                                                                                                                
