c5	c10	c12	c14	c15	c16	c17	c18	c20	c25	c35	c40	c90	c100	c110	c120	c130	c140	c150	c152	c160	c170	c180	c190	c192	c200	c210	c220	c230	c240	c250	c260	c270	c280	c290	c300	c310a	c310b	c310c	c310d	c314a	c314b	c314c	c314d	c320a	c320b	c320c	c324a	c324b	c324c	c330	c332	c340	c350	c360	c370	c380	c390	c400	c410	c420	c430	c440	c450	c460	c490	c510a	c510b	c510c	c510d	c510e	c510f	c602	c604	c606	c608	c610	c612	c614	c616	c620	c640	c652	c654	c660	eof
	20230119		NM  	2023	1	19	202301090025     	1	20230106	G	3246		BEARING         			BOMBDR	DHC8  	DHC8402     	1390042	NM  	PWC   	150   	PW150A      		EA  					NR 1 MLG WHEEL	DISINTEGRATED   	H				K				NONE                    				O			OTHER                     			TX	TAXI/GRND HDL  	1			SW	99						4216				NUMBER 1 MAIN WHEEL ASSY. OBSERVED WOBBLING DURING TAXI AFTER LANDING.  FOUND OUTER BEARING HAD DISINTEGRATED.									2 	4T	4	T	RT	A13NM   	E00062EN				 
	20230111		NM  	2023	1	11	2023F00012       	1	20230103	G	5312		BULKHEAD        			BOEING	737   	737436      	13844HC	NM  										BS 178	CRACKED         	A				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			SW	99	405YK	59561				25267				APPROX 2" CRACK ON INBD FLANGE OF VERTICAL CHORD RADIUS, LBL 5.7 WL 184 ON STA 178 BULKHEAD.									2 	4F			RT	A16WE   					 
	20230112		NE  	2023	1	12	2023F00013       	2	20230103	G	7261	8001628	OIL COOLER      			DHAV  	DHC2  	DHC2MK1     	2800102	EA  	PWA   	R985  	R985AN14B   	52008	NE  					ENGINE	MISMANUFACTURED 	E				K				NONE                    				J			WARNING INDICATION        			IN	INSP/MAINT     	1			SW	99	67673	28   	28   			1284	2986			AFTER REPLACEMENT OF ENGINE OIL COOLER, OIL TEMPERATURE WOULD NOT RISE TO OPERATING TEMPERATURE. DISCOVERED REPLACEMENT 	COOLER WAS MANUFACTURED INCORRECTLY WITH AN INTERNAL BAFFLE LOCATED IN THE WRONG PASSAGE CAUSING THE OIL TO NOT BYPASS W	HILE COLD.							1 	3R	3	R		A806    	5E1				 
	20230113		EU  	2023	1	13	2023F00015       	1	20230104	G	6700		COUPLER         			AGUSTA	AW109 	AW109SP     	0260113	EU  										DRIVE SHAFT	DEBONDED        	E				O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			SW	99	431HC	313  			AW20256	22404				#2 DRIVE SHAFT COUPLER APPEARS TO HAVE BECOME DEBONDED, AND THE ANTI-SLIPPAGE PIN CANNOT ROTATE, INDICATING A POTENTIAL 	SLIPPAGE.								2 	3U			RT	H7EU    					 
	20230118		NM  	2023	1	18	2023F00020       	1	20230107	G	5311	6558280511	FRAME           			BOEING	737   	7372Q8      	138448K	NM  										BS 360 S20-21R	CRACKED         	B				K				NONE                    				O			OTHER                     			IN	INSP/MAINT     	1			WP	03	413JG					23148				STA 360 FRAME BETWEEN S20R-S21R FOUND CRACK AT THE EDGE OF FASTENER HOLE (0.31" IN LENGTH)									2 	4F			RT	A16WE   					 
	20230118		NM  	2023	1	18	2023F00021       	1	20230107	G	2560	285W0955102	BATTERY         			BOEING	777   	777223      	1385213	NM  										R2 DOOR EPA	DISCHARGED      	D				K				NONE                    				L			NO TEST                   			IN	INSP/MAINT     	1			SW	99	756AM					30264				DUE TRANSIT CHECK FOUND EPAS BATTERY PACK INOP.   REMOVED AND REPLACED EPA BATTERY PACK AT DOOR 2R IAW AMM 52-11-20.CKD 	OK TO CONTINUE.								2 	4F			RT	T00001SE					 
	20230118		CE  	2023	1	18	2023F00022       	1	20230104	G	5100		NONE            			BEECH 	200   	200BEECH    	1152920	CE  										NONE	PILOT ERROR     	E				O				OTHER                   				O			OTHER                     			NR	NOT REPORTED   	1			SW	99	91MF 					BB657				PILOT RETURNED TO AIRPORT AFTER LOSS OF AC POWER DUE TO INADVERTENTLY BUMPING THE INVERTER SWITCH TO THE OFF POSITION.  	MAINTENANCE CHECKED THE INVERTER SWITCH AND INVERTERS AND NO FAULT WAS FOUND.    IT IS RECOMMENDED THAT THE 3 POSITION T	OGGLE SWITCH BE REPLACED WITH THE 3 POSITION LEVER LOCK TYPE SWITCH THAT IS USED IN THE LATER MODEL B200 AIRCRAFT.							2 	4T				A24CE   					 
	20230118		CE  	2023	1	18	2023F00023       	1	20230109	G	3230		LANDING GEAR    			BOEING	75    	75          	1380104	CE  											FAULTED         	E				A				UNSCHED LANDING         				J			WARNING INDICATION        			CL	CLIMB          	1			SW	99	470FL					45479				JUST AFTER DEPARTURE, WE ATTEMPTED TO RETRACT THE GEAR.  GEAR DOORS OPENED BUT THE GEAR DID NOT RETRACT. RETURNED TO KMI	A.   GEAR REMAINED SAFELY DOWN & LOCKED AND AN UNEVENTFUL LANDING WAS MADE.								1 	3R				A743    					 
	20230202		NE  	2023	2	2	2023F00029       	2	20230123	G	7320	J1215P17	GASKET          			BOEING	737   	737852      	13844FM	NM  	CFMINT	CFM56 	CFM567B27E  	13078	NE  					HMU	DAMAGED         	W				D				RETURN TO BLOCK         				K	J		FLUID LOSS                	WARNING INDICATION        		TX	TAXI/GRND HDL  	1			SW	99	XAAML	5    	5    			36707	894688			FUEL LEAK IN HMU LINES, GASKET RUBBER SEAL DAMAGED									2 	4F	4	F	RT	A16WE   	E00055EN				 
	20230125			2023	1	25	2023F00030       	1	20230114	G	2560	P4010021	BATTERY         																	FWD FLASHLIGHT	NO TEST         	A				K				NONE                    				L			NO TEST                   			IN	INSP/MAINT     	1			SW	99		77121								EMERGENCY FLASHLIGHT AT L1 WILL NOT TEST																			 
